e1;s1;b1;M;A1;6;7
e2;s1;b1;M;A6;7;8
e3;s1;b1;M;A1;8;9
e4;s1;b1;M;A1;9;10
e5;s1;b1;M;A1;10;11
e6;s1;b1;M;A1;11;12
e7;s1;b1;M;A1;12;13
e8;s1;b1;M;A1;13;14
e9;s1;b1;M;A1;14;15
e10;s1;b1;M;A1;15;16
e11;s1;b1;M;A1;16;17
e12;s1;b1;M;A1;17;18
e13;s1;b1;M;A1;18;19
e14;s1;b1;M;A1;19;20
e15;s1;b1;M;A1;20;21
e16;s1;b1;M;A1;21;22
e17;s1;b1;T;A1;6;7
e18;s1;b1;T;A1;7;8
e19;s1;b1;T;A1;8;9
e20;s1;b1;T;A1;9;10
e21;s1;b1;T;A1;10;11
e22;s1;b1;T;A1;11;12
e23;s1;b1;T;A1;12;13
e24;s1;b1;T;A1;13;14
e25;s1;b1;T;A1;14;15
e26;s1;b1;T;A2;15;16
e27;s1;b1;T;A2;16;17
e28;s1;b1;T;A2;17;18
e29;s1;b1;T;A2;18;19
e30;s1;b1;T;A2;19;20
e31;s1;b1;T;A1;20;21
e32;s1;b1;T;A1;21;22
e33;s1;b1;W;A1;6;7
e34;s1;b1;W;A1;7;8
e35;s1;b1;W;A1;8;9
e36;s1;b1;W;A1;9;10
e37;s1;b1;W;A1;10;11
e38;s1;b1;W;A1;11;12
e39;s1;b1;W;A1;12;13
e40;s1;b1;W;A1;13;14
e41;s1;b1;W;A1;14;15
e42;s1;b1;W;A1;15;16
e43;s1;b1;W;A1;16;17
e44;s1;b1;W;A1;17;18
e45;s1;b1;W;A1;18;19
e46;s1;b1;W;A1;19;20
e47;s1;b1;W;A1;20;21
e48;s1;b1;W;A1;21;22
e49;s1;b1;TH;A1;6;7
e50;s1;b1;TH;A1;7;8
e51;s1;b1;TH;A1;8;9
e52;s1;b1;TH;A1;9;10
e53;s1;b1;TH;A2;10;11
e54;s1;b1;TH;A2;11;12
e55;s1;b1;TH;A2;12;13
e56;s1;b1;TH;A2;13;14
e57;s1;b1;TH;A2;14;15
e58;s1;b1;TH;A2;15;16
e59;s1;b1;TH;A1;16;17
e60;s1;b1;TH;A1;17;18
e61;s1;b1;TH;A1;18;19
e62;s1;b1;TH;A1;19;20
e63;s1;b1;TH;A1;20;21
e64;s1;b1;TH;A1;21;22
e65;s1;b1;F;A1;6;7
e66;s1;b1;F;A1;7;8
e67;s1;b1;F;A1;8;9
e68;s1;b1;F;A3;9;10
e69;s1;b1;F;A1;10;11
e70;s1;b1;F;A1;11;12
e71;s1;b1;F;A1;12;13
e72;s1;b1;F;A1;13;14
e73;s1;b1;F;A1;14;15
e74;s1;b1;F;A1;15;16
e75;s1;b1;F;A1;16;17
e76;s1;b1;F;A1;17;18
e77;s1;b1;F;A1;18;19
e78;s1;b1;F;A1;19;20
e79;s1;b1;F;A4;20;21
e80;s1;b1;F;A1;21;22
e81;s2;b1;M;A2;6;7
e82;s2;b1;M;A2;7;8
e83;s2;b1;M;A2;8;9
e84;s2;b1;M;A2;9;10
e85;s2;b1;M;A2;10;11
e86;s2;b1;M;A1;11;12
e87;s2;b1;M;A1;12;13
e88;s2;b1;M;A1;13;14
e89;s2;b1;M;A1;14;15
e90;s2;b1;M;A5;15;16
e91;s2;b1;M;A1;16;17
e92;s2;b1;M;A1;17;18
e93;s2;b1;M;A1;18;19
e94;s2;b1;M;A1;19;20
e95;s2;b1;M;A1;20;21
e96;s2;b1;M;A1;21;22
e97;s2;b1;T;A1;6;7
e98;s2;b1;T;A1;7;8
e99;s2;b1;T;A1;8;9
e100;s2;b1;T;A1;9;10
e101;s2;b2;T;A1;10;11
e102;s2;b2;T;A6;11;12
e103;s2;b2;T;A1;12;13
e104;s2;b2;T;A1;13;14
e105;s2;b2;T;A1;14;15
e106;s2;b2;T;A1;15;16
e107;s2;b2;T;A1;16;17
e108;s2;b2;T;A1;17;18
e109;s2;b2;T;A1;18;19
e110;s2;b2;T;A1;19;20
e111;s2;b2;T;A1;20;21
e112;s2;b2;T;A1;21;22
e113;s2;b2;W;A1;6;7
e114;s2;b2;W;A1;7;8
e115;s2;b2;W;A1;8;9
e116;s2;b2;W;A1;9;10
e117;s2;b2;W;A1;10;11
e118;s2;b2;W;A1;11;12
e119;s2;b2;W;A1;12;13
e120;s2;b2;W;A1;13;14
e121;s2;b2;W;A1;14;15
e122;s2;b2;W;A1;15;16
e123;s2;b2;W;A1;16;17
e124;s2;b2;W;A1;17;18
e125;s2;b2;W;A1;18;19
e126;s2;b2;W;A2;19;20
e127;s2;b2;W;A2;20;21
e128;s2;b2;W;A2;21;22
e129;s2;b2;TH;A2;6;7
e130;s2;b2;TH;A2;7;8
e131;s2;b2;TH;A1;8;9
e132;s2;b2;TH;A1;9;10
e133;s2;b2;TH;A1;10;11
e134;s2;b2;TH;A1;11;12
e135;s2;b2;TH;A1;12;13
e136;s2;b2;TH;A1;13;14
e137;s2;b2;TH;A1;14;15
e138;s2;b2;TH;A1;15;16
e139;s2;b2;TH;A1;16;17
e140;s2;b2;TH;A1;17;18
e141;s2;b2;TH;A1;18;19
e142;s2;b2;TH;A1;19;20
e143;s2;b2;TH;A1;20;21
e144;s2;b2;TH;A1;21;22
e145;s2;b2;F;A1;6;7
e146;s2;b2;F;A1;7;8
e147;s2;b2;F;A1;8;9
e148;s2;b2;F;A1;9;10
e149;s2;b2;F;A1;10;11
e150;s2;b2;F;A1;11;12
e151;s2;b2;F;A1;12;13
e152;s2;b2;F;A1;13;14
e153;s2;b2;F;A2;14;15
e154;s2;b2;F;A2;15;16
e155;s2;b2;F;A2;16;17
